R屋面角铁名称,L屋面角铁名称,R百页角铁名称,L百页角铁名称,R水沟,L水沟,R水沟T铁,L水沟T铁
G3/20R5H,G3/21L5H,G3/20R1H,G3/21L1H,G3/20R1F,G3/21L2F,G3/20R1G,G3/21L1G
G3/20R6H,G3/21L6H,G3/20R2H,G3/21L2H,G3/20R2F,G3/21L3F,G3/20R2G,G3/21L2G
G3/20R7H,G3/21L7H,G3/20R3H,G3/21L3H,G3/20R3F,G3/21L4F,G3/20R3G,G3/21L3G
G3/20R8H,G3/21L8H,G3/20R4H,G3/21L4H,G3/20R4F,G3/21L5F,G3/20R4G,G3/21L4G
G3/20R9H,G3/21L9H,0,0,G3/20R5F,G3/21L6F,G3/20R5G,G3/21L5G
G3/20R10H,G3/21L10H,0,0,G3/20R6F,G3/21L7F,G3/20R6G,G3/21L6G
G3/20R11H,G3/21L11H,0,0,G3/20R7F,G3/21L8F,G3/20R7G,G3/21L7G
G3/20R12H,G3/21L12H,0,0,G3/20R8F,G3/21L9F,G3/20R8G,G3/21L8G
G3/20R13H,G3/21L13H,0,0,G3/20R9F,G3/21L10F,G3/20R9G,G3/21L9G
G3/20R14H,G3/21L14H,0,0,G3/20R10F,G3/21L11F,G3/20R10G,G3/21L10G
G3/20R15H,G3/21L15H,0,0,G3/20R11F,G3/21L12F,G3/20R11G,G3/21L11G
G3/20R16H,G3/21L16H,0,0,G3/20R12F,G3/21L13F,G3/20R12G,G3/21L12G
G3/20R17H,G3/21L17H,0,0,G3/20R13F,G3/21L14F,G3/20R13G,G3/21L13G
G3/20R18H,G3/21L18H,0,0,G3/20R14F,G3/21L15F,G3/20R14G,G3/21L14G
G3/20R19H,G3/21L19H,G3/20R34H,G3/21L34H,G3/20R15F,G3/21L16F,G3/20R15G,G3/21L15G
G3/20R20H,G3/21L20H,G3/20R35H,G3/21L35H,G3/20R16F,G3/21L17F,G3/20R16G,G3/21L16G
G3/20R21H,G3/21L21H,G3/20R36H,G3/21L36H,G3/20R17F,G3/21L18F,G3/20R17G,G3/21L17G
G3/20R22H,G3/21L22H,0,0,G3/20R18F,G3/21L19F,G3/20R18G,G3/21L18G
G3/20R23H,G3/21L23H,0,0,G3/20R19F,G3/21L20F,G3/20R19G,G3/21L19G
G3/20R24H,G3/21L24H,0,0,G3/20R20F,G3/21L21F,G3/20R20G,G3/21L20G
G3/20R25H,G3/21L25H,0,0,G3/20R21F,G3/21L22F,G3/20R21G,G3/21L21G
G3/20R26H,G3/21L26H,0,0,G3/20R22F,G3/21L23F,G3/20R22G,G3/21L22G
G3/20R27H,G3/21L27H,0,0,G3/20R23F,G3/21L24F,G3/20R23G,G3/21L23G
G3/20R28H,G3/21L28H,0,0,G3/20R24F,G3/21L25F,G3/20R24G,G3/21L24G
G3/20R29H,G3/21L29H,0,0,G3/20R25F,G3/21L26F,G3/20R25G,G3/21L25G
G3/20R30H,G3/21L30H,0,0,G3/20R26F,G3/21L27F,G3/20R26G,G3/21L26G
G3/20R31H,G3/21L31H,0,0,G3/20R27F,G3/21L28F,G3/20R27G,G3/21L27G
G3/20R32H,G3/21L32H,0,0,G3/20R28F,G3/21L29F,G3/20R28G,G3/21L28G
G3/20R33H,G3/21L33H,0,0,G3/20R29F,G3/21L30F,G3/20R29G,G3/21L29G
G3/19R6H,G3/20L6H,G3/19R1H,G3/20L1H,G3/20R30F,G3/21L31F,G3/20R30G,G3/21L30G
