R屋面角铁名称,L屋面角铁名称,R百页角铁名称,L百页角铁名称,R水沟,L水沟,R水沟T铁,L水沟T铁
G2/20R6H,G2/22L6H,G2/20R1H,G2/22L1H,G2/20R1F,G2/22L2F,G2/20R1G,G2/22L1G
G2/20R7H,G2/22L7H,G2/20R2H,G2/22L2H,G2/20R2F,G2/22L3F,G2/20R2G,G2/22L2G
G2/20R8H,G2/22L8H,G2/20R3H,G2/22L3H,G2/20R3F,G2/22L4F,G2/20R3G,G2/22L3G
G2/20R9H,G2/22L9H,G2/20R4H,G2/22L4H,G2/20R4F,G2/22L5F,G2/20R4G,G2/22L4G
G2/20R10H,G2/22L10H,G2/20R5H,G2/22L5H,G2/20R5F,G2/22L6F,G2/20R5G,G2/22L5G
G2/20R11H,G2/22L11H,0,0,G2/20R6F,G2/22L7F,G2/20R6G,G2/22L6G
G2/20R12H,G2/22L12H,0,0,G2/20R7F,G2/22L8F,G2/20R7G,G2/22L7G
G2/20R13H,G2/22L13H,0,0,G2/20R8F,G2/22L9F,G2/20R8G,G2/22L8G
G2/20R14H,G2/22L14H,0,0,G2/20R9F,G2/22L10F,G2/20R9G,G2/22L9G
G2/20R15H,G2/22L15H,0,0,G2/20R10F,G2/22L11F,G2/20R10G,G2/22L10G
G2/20R16H,G2/22L16H,0,0,G2/20R11F,G2/22L12F,G2/20R11G,G2/22L11G
G2/20R17H,G2/22L17H,0,0,G2/20R12F,G2/22L13F,G2/20R12G,G2/22L12G
G2/20R18H,G2/22L18H,0,0,G2/20R13F,G2/22L14F,G2/20R13G,G2/22L13G
G2/20R19H,G2/22L19H,0,0,G2/20R14F,G2/22L15F,G2/20R14G,G2/22L14G
G2/20R20H,G2/22L20H,0,0,G2/20R15F,G2/22L16F,G2/20R15G,G2/22L15G
G2/20R21H,G2/22L21H,0,0,G2/20R16F,G2/22L17F,G2/20R16G,G2/22L16G
G2/20R22H,G2/22L22H,0,0,G2/20R17F,G2/22L18F,G2/20R17G,G2/22L17G
G2/20R23H,G2/22L23H,0,0,G2/20R18F,G2/22L19F,G2/20R18G,G2/22L18G
G2/20R24H,G2/22L24H,0,0,G2/20R19F,G2/22L20F,G2/20R19G,G2/22L19G
G2/20R25H,G2/22L25H,0,0,G2/20R20F,G2/22L21F,G2/20R20G,G2/22L20G
