R屋面角铁名称,L屋面角铁名称,R百页角铁名称,L百页角铁名称,R水沟,L水沟,R水沟T铁,L水沟T铁
G2/20R26H,G2/22L26H,G2/20R46H,G2/22L46H,G2/20R21F,G2/22L22F,G2/20R21G,G2/22L21G
G2/20R27H,G2/22L27H,G2/20R47H,G2/22L47H,G2/20R22F,G2/22L23F,G2/20R22G,G2/22L22G
G2/20R28H,G2/22L28H,G2/20R48H,G2/22L48H,G2/20R23F,G2/22L24F,G2/20R23G,G2/22L23G
G2/20R29H,G2/22L29H,G2/20R49H,G2/22L49H,G2/20R24F,G2/22L25F,G2/20R24G,G2/22L24G
G2/20R30H,G2/22L30H,G2/20R50H,G2/22L50H,G2/20R25F,G2/22L26F,G2/20R25G,G2/22L25G
G2/20R31H,G2/22L31H,0,0,G2/20R26F,G2/22L27F,G2/20R26G,G2/22L26G
G2/20R32H,G2/22L32H,0,0,G2/20R27F,G2/22L28F,G2/20R27G,G2/22L27G
G2/20R33H,G2/22L33H,0,0,G2/20R28F,G2/22L29F,G2/20R28G,G2/22L28G
G2/20R34H,G2/22L34H,0,0,G2/20R29F,G2/22L30F,G2/20R29G,G2/22L29G
G2/20R35H,G2/22L35H,0,0,G2/20R30F,G2/22L31F,G2/20R30G,G2/22L30G
G2/20R36H,G2/22L36H,0,0,G2/20R31F,G2/22L32F,G2/20R31G,G2/22L31G
G2/20R37H,G2/22L37H,0,0,G2/20R32F,G2/22L33F,G2/20R32G,G2/22L32G
G2/20R38H,G2/22L38H,0,0,G2/20R33F,G2/22L34F,G2/20R33G,G2/22L33G
G2/20R39H,G2/22L39H,0,0,G2/20R34F,G2/22L35F,G2/20R34G,G2/22L34G
G2/20R40H,G2/22L40H,0,0,G2/20R35F,G2/22L36F,G2/20R35G,G2/22L35G
G2/20R41H,G2/22L41H,0,0,G2/20R36F,G2/22L37F,G2/20R36G,G2/22L36G
G2/20R42H,G2/22L42H,0,0,G2/20R37F,G2/22L38F,G2/20R37G,G2/22L37G
G2/20R43H,G2/22L43H,0,0,G2/20R38F,G2/22L39F,G2/20R38G,G2/22L38G
G2/20R44H,G2/22L44H,0,0,G2/20R39F,G2/22L40F,G2/20R39G,G2/22L39G
G2/20R45H,G2/22L45H,0,0,G2/20R40F,G2/22L41F,G2/20R40G,G2/22L40G
G2/18R6H,G2/20L6H,G2/18R1H,G2/20L1H,G2/20R41F,G2/22L42F,G2/20R41G,G2/22L41G
G2/18R7H,G2/20L7H,G2/18R2H,G2/20L2H,G2/20R42F,G2/22L43F,G2/20R42G,G2/22L42G
G2/18R8H,G2/20L8H,G2/18R3H,G2/20L3H,G2/20R43F,G2/22L44F,G2/20R43G,G2/22L43G
G2/18R9H,G2/20L9H,G2/18R4H,G2/20L4H,G2/20R44F,G2/22L45F,G2/20R44G,G2/22L44G
G2/18R10H,G2/20L10H,G2/18R5H,G2/20L5H,G2/20R45F,G2/22L46F,G2/20R45G,G2/22L45G
G2/18R11H,G2/20L11H,0,0,G2/20R46F,G2/22L47F,G2/20R46G,G2/22L46G
G2/18R12H,G2/20L12H,0,0,G2/20R47F,G2/22L48F,G2/20R47G,G2/22L47G
G2/18R13H,G2/20L13H,0,0,G2/20R48F,G2/22L49F,G2/20R48G,G2/22L48G
G2/18R14H,G2/20L14H,0,0,G2/20R49F,G2/20R1F,G2/20R49G,G2/22L49G
G2/18R15H,G2/20L15H,0,0,G2/20R51F,G2/20L2F,G2/20R50G,G2/22L50G
G2/18R16H,G2/20L16H,0,0,G2/18R1F,G2/20L3F,G2/18R1G,G2/20L1G
G2/18R17H,G2/20L17H,0,0,G2/18R2F,G2/20L4F,G2/18R2G,G2/20L2G
G2/18R18H,G2/20L18H,0,0,G2/18R3F,G2/20L5F,G2/18R3G,G2/20L3G
G2/18R19H,G2/20L19H,0,0,G2/18R4F,G2/20L6F,G2/18R4G,G2/20L4G
G2/18R20H,G2/20L20H,0,0,G2/18R5F,G2/20L7F,G2/18R5G,G2/20L5G
G2/18R21H,G2/20L21H,0,0,G2/18R6F,G2/20L8F,G2/18R6G,G2/20L6G
G2/18R22H,G2/20L22H,0,0,G2/18R7F,G2/20L9F,G2/18R7G,G2/20L7G
G2/18R23H,G2/20L23H,0,0,G2/18R8F,G2/20L10F,G2/18R8G,G2/20L8G
G2/18R28H,G2/20L28H,G2/18R46H,G2/20L46H,G2/18R9F,G2/20L11F,G2/18R9G,G2/20L9G
G2/18R29H,G2/20L29H,G2/18R47H,G2/20L47H,G2/18R10F,G2/20L12F,G2/18R10G,G2/20L10G
G2/18R30H,G2/20L30H,G2/18R48H,G2/20L48H,G2/18R11F,G2/20L13F,G2/18R11G,G2/20L11G
G2/18R31H,G2/20L31H,G2/18R49H,G2/20L49H,G2/18R12F,G2/20L14F,G2/18R12G,G2/20L12G
G2/18R32H,G2/20L32H,G2/18R50H,G2/20L50H,G2/18R13F,G2/20L15F,G2/18R13G,G2/20L13G
G2/18R33H,G2/20L33H,0,0,G2/18R14F,G2/20L16F,G2/18R14G,G2/20L14G
G2/18R34H,G2/20L34H,0,0,G2/18R15F,G2/20L17F,G2/18R15G,G2/20L15G
G2/18R35H,G2/20L35H,0,0,G2/18R16F,G2/20L18F,G2/18R16G,G2/20L16G
G2/18R36H,G2/20L36H,0,0,G2/18R17F,G2/20L19F,G2/18R17G,G2/20L17G
G2/18R37H,G2/20L37H,0,0,G2/18R18F,G2/20L20F,G2/18R18G,G2/20L18G
G2/18R38H,G2/20L38H,0,0,G2/18R19F,G2/20L21F,G2/18R19G,G2/20L19G
G2/18R39H,G2/20L39H,0,0,G2/18R20F,G2/20L22F,G2/18R20G,G2/20L20G
G2/18R40H,G2/20L40H,0,0,G2/18R21F,G2/20L23F,G2/18R21G,G2/20L21G
G2/18R41H,G2/20L41H,0,0,G2/18R22F,G2/20L24F,G2/18R22G,G2/20L22G
G2/18R42H,G2/20L42H,0,0,G2/18R23F,G2/20L25F,G2/18R23G,G2/20L23G
G2/18R43H,G2/20L43H,0,0,G2/18R24F,G2/20L26F,G2/18R24G,G2/20L24G
G2/18R44H,G2/20L44H,0,0,G2/18R25F,G2/20L27F,G2/18R25G,G2/20L25G
G2/18R45H,G2/20L45H,0,0,G2/18R26F,G2/20L28F,G2/18R26G,G2/20L26G
G2/17R6H,G2/18L6H,G2/17R1H,G2/18L1H,G2/18R27F,G2/20L29F,G2/18R27G,G2/20L27G
G2/17R7H,G2/18L7H,G2/17R2H,G2/18L2H,G2/18R28F,G2/20L30F,G2/18R28G,G2/20L28G
G2/17R8H,G2/18L8H,G2/17R3H,G2/18L3H,G2/18R29F,G2/20L31F,G2/18R29G,G2/20L29G
G2/17R9H,G2/18L9H,G2/17R4H,G2/18L4H,G2/18R30F,G2/20L32F,G2/18R30G,G2/20L30G
G2/17R10H,G2/18L10H,G2/17R5H,G2/18L5H,G2/18R31F,G2/20L33F,G2/18R31G,G2/20L31G
G2/17R11H,G2/18L11H,0,0,G2/18R32F,G2/20L34F,G2/18R32G,G2/20L32G
G2/17R12H,G2/18L12H,0,0,G2/18R33F,G2/20L35F,G2/18R33G,G2/20L33G
G2/17R13H,G2/18L13H,0,0,G2/18R34F,G2/20L36F,G2/18R34G,G2/20L34G
G2/17R14H,G2/18L14H,0,0,G2/18R35F,G2/20L37F,G2/18R35G,G2/20L35G
G2/17R15H,G2/18L15H,0,0,G2/18R36F,G2/20L38F,G2/18R36G,G2/20L36G
G2/17R16H,G2/18L16H,0,0,G2/18R37F,G2/20L39F,G2/18R37G,G2/20L37G
G2/17R17H,G2/18L17H,0,0,G2/18R38F,G2/20L40F,G2/18R38G,G2/20L38G
G2/17R18H,G2/18L18H,0,0,G2/18R39F,G2/20L41F,G2/18R39G,G2/20L39G
G2/17R19H,G2/18L19H,0,0,G2/18R40F,G2/20L42F,G2/18R40G,G2/20L40G
G2/17R20H,G2/18L20H,0,0,G2/18R41F,G2/20L43F,G2/18R41G,G2/20L41G
G2/17R21H,G2/18L21H,0,0,G2/18R42F,G2/20L44F,G2/18R42G,G2/20L42G
G2/17R22H,G2/18L22H,0,0,G2/18R43F,G2/20L45F,G2/18R43G,G2/20L43G
G2/17R23H,G2/18L23H,0,0,G2/18R44F,G2/20L46F,G2/18R44G,G2/20L44G
G2/17R24H,G2/18L24H,0,0,G2/18R45F,G2/20L47F,G2/18R45G,G2/20L45G
G2/17R29H,G2/18L29H,G2/17R48H,G2/18L48H,G2/18R46F,G2/20L48F,G2/18R46G,G2/20L46G
G2/17R30H,G2/18L30H,G2/17R49H,G2/18L49H,G2/18R47F,G2/20L49F,G2/18R47G,G2/20L47G
G2/17R31H,G2/18L31H,G2/17R50H,G2/18L50H,G2/18R48F,G2/20R51F,G2/18R48G,G2/20L48G
G2/17R32H,G2/18L32H,G2/17R51H,G2/18L51H,G2/18R49F,G2/18R1F,G2/18R49G,G2/20L49G
G2/17R33H,G2/18L33H,G2/17R52H,G2/18L52H,G2/18R51F,G2/18L2F,G2/18R50G,G2/20L50G
G2/17R34H,G2/18L34H,0,0,G2/17R1F,G2/18L3F,G2/17R1G,G2/18L1G
G2/17R35H,G2/18L35H,0,0,G2/17R2F,G2/18L4F,G2/17R2G,G2/18L2G
G2/17R36H,G2/18L36H,0,0,G2/17R3F,G2/18L5F,G2/17R3G,G2/18L3G
G2/17R37H,G2/18L37H,0,0,G2/17R4F,G2/18L6F,G2/17R4G,G2/18L4G
G2/17R38H,G2/18L38H,0,0,G2/17R5F,G2/18L7F,G2/17R5G,G2/18L5G
G2/17R39H,G2/18L39H,0,0,G2/17R6F,G2/18L8F,G2/17R6G,G2/18L6G
G2/17R40H,G2/18L40H,0,0,G2/17R7F,G2/18L9F,G2/17R7G,G2/18L7G
G2/17R41H,G2/18L41H,0,0,G2/17R8F,G2/18L10F,G2/17R8G,G2/18L8G
G2/17R42H,G2/18L42H,0,0,G2/17R9F,G2/18L11F,G2/17R9G,G2/18L9G
G2/17R43H,G2/18L43H,0,0,G2/17R10F,G2/18L12F,G2/17R10G,G2/18L10G
G2/17R44H,G2/18L44H,0,0,G2/17R11F,G2/18L13F,G2/17R11G,G2/18L11G
G2/17R45H,G2/18L45H,0,0,G2/17R12F,G2/18L14F,G2/17R12G,G2/18L12G
G2/17R46H,G2/18L46H,0,0,G2/17R13F,G2/18L15F,G2/17R13G,G2/18L13G
G2/17R47H,G2/18L47H,0,0,G2/17R14F,G2/18L16F,G2/17R14G,G2/18L14G
G2/16R6H,G2/17L6H,G2/16R1H,G2/17L1H,G2/17R15F,G2/18L17F,G2/17R15G,G2/18L15G
G2/16R7H,G2/17L7H,G2/16R2H,G2/17L2H,G2/17R16F,G2/18L18F,G2/17R16G,G2/18L16G
G2/16R8H,G2/17L8H,G2/16R3H,G2/17L3H,G2/17R17F,G2/18L19F,G2/17R17G,G2/18L17G
G2/16R9H,G2/17L9H,G2/16R4H,G2/17L4H,G2/17R18F,G2/18L20F,G2/17R18G,G2/18L18G
G2/16R10H,G2/17L10H,G2/16R5H,G2/17L5H,G2/17R19F,G2/18L21F,G2/17R19G,G2/18L19G
G2/16R11H,G2/17L11H,0,0,G2/17R20F,G2/18L22F,G2/17R20G,G2/18L20G
G2/16R12H,G2/17L12H,0,0,G2/17R21F,G2/18L23F,G2/17R21G,G2/18L21G
G2/16R13H,G2/17L13H,0,0,G2/17R22F,G2/18L24F,G2/17R22G,G2/18L22G
G2/16R14H,G2/17L14H,0,0,G2/17R23F,G2/18L25F,G2/17R23G,G2/18L23G
G2/16R15H,G2/17L15H,0,0,G2/17R24F,G2/18L26F,G2/17R24G,G2/18L24G
G2/16R16H,G2/17L16H,0,0,G2/17R25F,G2/18L27F,G2/17R25G,G2/18L25G
G2/16R17H,G2/17L17H,0,0,G2/17R26F,G2/18L28F,G2/17R26G,G2/18L26G
G2/16R18H,G2/17L18H,0,0,G2/17R27F,G2/18L29F,G2/17R27G,G2/18L27G
G2/16R19H,G2/17L19H,0,0,G2/17R28F,G2/18L30F,G2/17R28G,G2/18L28G
G2/16R20H,G2/17L20H,0,0,G2/17R29F,G2/18L31F,G2/17R29G,G2/18L29G
G2/16R21H,G2/17L21H,0,0,G2/17R30F,G2/18L32F,G2/17R30G,G2/18L30G
G2/16R22H,G2/17L22H,0,0,G2/17R31F,G2/18L33F,G2/17R31G,G2/18L31G
G2/16R23H,G2/17L23H,0,0,G2/17R32F,G2/18L34F,G2/17R32G,G2/18L32G
G2/16R24H,G2/17L24H,0,0,G2/17R33F,G2/18L35F,G2/17R33G,G2/18L33G
G2/16R25H,G2/17L25H,0,0,G2/17R34F,G2/18L36F,G2/17R34G,G2/18L34G
G2/16R30H,G2/17L30H,G2/16R50H,G2/17L50H,G2/17R35F,G2/18L37F,G2/17R35G,G2/18L35G
G2/16R31H,G2/17L31H,G2/16R51H,G2/17L51H,G2/17R36F,G2/18L38F,G2/17R36G,G2/18L36G
G2/16R32H,G2/17L32H,G2/16R52H,G2/17L52H,G2/17R37F,G2/18L39F,G2/17R37G,G2/18L37G
G2/16R33H,G2/17L33H,G2/16R53H,G2/17L53H,G2/17R38F,G2/18L40F,G2/17R38G,G2/18L38G
G2/16R34H,G2/17L34H,G2/16R54H,G2/17L54H,G2/17R39F,G2/18L41F,G2/17R39G,G2/18L39G
G2/16R35H,G2/17L35H,0,0,G2/17R40F,G2/18L42F,G2/17R40G,G2/18L40G
G2/16R36H,G2/17L36H,0,0,G2/17R41F,G2/18L43F,G2/17R41G,G2/18L41G
G2/16R37H,G2/17L37H,0,0,G2/17R42F,G2/18L44F,G2/17R42G,G2/18L42G
G2/16R38H,G2/17L38H,0,0,G2/17R43F,G2/18L45F,G2/17R43G,G2/18L43G
G2/16R39H,G2/17L39H,0,0,G2/17R44F,G2/18L46F,G2/17R44G,G2/18L44G
G2/16R40H,G2/17L40H,0,0,G2/17R45F,G2/18L47F,G2/17R45G,G2/18L45G
G2/16R41H,G2/17L41H,0,0,G2/17R46F,G2/18L48F,G2/17R46G,G2/18L46G
G2/16R42H,G2/17L42H,0,0,G2/17R47F,G2/18L49F,G2/17R47G,G2/18L47G
G2/16R43H,G2/17L43H,0,0,G2/17R48F,G2/18L50F,G2/17R48G,G2/18L48G
G2/16R44H,G2/17L44H,0,0,G2/17R49F,G2/18L51F,G2/17R49G,G2/18L49G
G2/16R45H,G2/17L45H,0,0,G2/17R50F,G2/18R51F,G2/17R50G,G2/18L50G
G2/16R46H,G2/17L46H,0,0,G2/17R51F,G2/17R1F,G2/17R51G,G2/18L51G
G2/16R47H,G2/17L47H,0,0,G2/17R53F,G2/17L2F,G2/17R52G,G2/18L52G
G2/16R48H,G2/17L48H,0,0,G2/16R1F,G2/17L3F,G2/16R1G,G2/17L1G
G2/16R49H,G2/17L49H,0,0,G2/16R2F,G2/17L4F,G2/16R2G,G2/17L2G
G2/15R6H,G2/16L6H,G2/15R1H,G2/16L1H,G2/16R3F,G2/17L5F,G2/16R3G,G2/17L3G
G2/15R7H,G2/16L7H,G2/15R2H,G2/16L2H,G2/16R4F,G2/17L6F,G2/16R4G,G2/17L4G
G2/15R8H,G2/16L8H,G2/15R3H,G2/16L3H,G2/16R5F,G2/17L7F,G2/16R5G,G2/17L5G
G2/15R9H,G2/16L9H,G2/15R4H,G2/16L4H,G2/16R6F,G2/17L8F,G2/16R6G,G2/17L6G
G2/15R10H,G2/16L10H,G2/15R5H,G2/16L5H,G2/16R7F,G2/17L9F,G2/16R7G,G2/17L7G
G2/15R11H,G2/16L11H,0,0,G2/16R8F,G2/17L10F,G2/16R8G,G2/17L8G
G2/15R12H,G2/16L12H,0,0,G2/16R9F,G2/17L11F,G2/16R9G,G2/17L9G
G2/15R13H,G2/16L13H,0,0,G2/16R10F,G2/17L12F,G2/16R10G,G2/17L10G
G2/15R14H,G2/16L14H,0,0,G2/16R11F,G2/17L13F,G2/16R11G,G2/17L11G
G2/15R15H,G2/16L15H,0,0,G2/16R12F,G2/17L14F,G2/16R12G,G2/17L12G
G2/15R16H,G2/16L16H,0,0,G2/16R13F,G2/17L15F,G2/16R13G,G2/17L13G
G2/15R17H,G2/16L17H,0,0,G2/16R14F,G2/17L16F,G2/16R14G,G2/17L14G
G2/15R18H,G2/16L18H,0,0,G2/16R15F,G2/17L17F,G2/16R15G,G2/17L15G
G2/15R19H,G2/16L19H,0,0,G2/16R16F,G2/17L18F,G2/16R16G,G2/17L16G
G2/15R20H,G2/16L20H,0,0,G2/16R17F,G2/17L19F,G2/16R17G,G2/17L17G
G2/15R21H,G2/16L21H,0,0,G2/16R18F,G2/17L20F,G2/16R18G,G2/17L18G
G2/15R22H,G2/16L22H,0,0,G2/16R19F,G2/17L21F,G2/16R19G,G2/17L19G
G2/15R23H,G2/16L23H,0,0,G2/16R20F,G2/17L22F,G2/16R20G,G2/17L20G
G2/15R24H,G2/16L24H,0,0,G2/16R21F,G2/17L23F,G2/16R21G,G2/17L21G
G2/15R25H,G2/16L25H,0,0,G2/16R22F,G2/17L24F,G2/16R22G,G2/17L22G
G2/15R26H,G2/16L26H,0,0,G2/16R23F,G2/17L25F,G2/16R23G,G2/17L23G
G2/15R31H,G2/16L31H,G2/15R52H,G2/16L52H,G2/16R24F,G2/17L26F,G2/16R24G,G2/17L24G
G2/15R32H,G2/16L32H,G2/15R53H,G2/16L53H,G2/16R25F,G2/17L27F,G2/16R25G,G2/17L25G
G2/15R33H,G2/16L33H,G2/15R54H,G2/16L54H,G2/16R26F,G2/17L28F,G2/16R26G,G2/17L26G
G2/15R34H,G2/16L34H,G2/15R55H,G2/16L55H,G2/16R27F,G2/17L29F,G2/16R27G,G2/17L27G
G2/15R35H,G2/16L35H,G2/15R56H,G2/16L56H,G2/16R28F,G2/17L30F,G2/16R28G,G2/17L28G
G2/15R36H,G2/16L36H,0,0,G2/16R29F,G2/17L31F,G2/16R29G,G2/17L29G
G2/15R37H,G2/16L37H,0,0,G2/16R30F,G2/17L32F,G2/16R30G,G2/17L30G
G2/15R38H,G2/16L38H,0,0,G2/16R31F,G2/17L33F,G2/16R31G,G2/17L31G
G2/15R39H,G2/16L39H,0,0,G2/16R32F,G2/17L34F,G2/16R32G,G2/17L32G
G2/15R40H,G2/16L40H,0,0,G2/16R33F,G2/17L35F,G2/16R33G,G2/17L33G
G2/15R41H,G2/16L41H,0,0,G2/16R34F,G2/17L36F,G2/16R34G,G2/17L34G
G2/15R42H,G2/16L42H,0,0,G2/16R35F,G2/17L37F,G2/16R35G,G2/17L35G
G2/15R43H,G2/16L43H,0,0,G2/16R36F,G2/17L38F,G2/16R36G,G2/17L36G
G2/15R44H,G2/16L44H,0,0,G2/16R37F,G2/17L39F,G2/16R37G,G2/17L37G
G2/15R45H,G2/16L45H,0,0,G2/16R38F,G2/17L40F,G2/16R38G,G2/17L38G
G2/15R46H,G2/16L46H,0,0,G2/16R39F,G2/17L41F,G2/16R39G,G2/17L39G
G2/15R47H,G2/16L47H,0,0,G2/16R40F,G2/17L42F,G2/16R40G,G2/17L40G
G2/15R48H,G2/16L48H,0,0,G2/16R41F,G2/17L43F,G2/16R41G,G2/17L41G
G2/15R49H,G2/16L49H,0,0,G2/16R42F,G2/17L44F,G2/16R42G,G2/17L42G
G2/15R50H,G2/16L50H,0,0,G2/16R43F,G2/17L45F,G2/16R43G,G2/17L43G
G2/15R51H,G2/16L51H,0,0,G2/16R44F,G2/17L46F,G2/16R44G,G2/17L44G
G2/14R6H,G2/15L6H,G2/14R1H,G2/15L1H,G2/16R45F,G2/17L47F,G2/16R45G,G2/17L45G
G2/14R7H,G2/15L7H,G2/14R2H,G2/15L2H,G2/16R46F,G2/17L48F,G2/16R46G,G2/17L46G
G2/14R8H,G2/15L8H,G2/14R3H,G2/15L3H,G2/16R47F,G2/17L49F,G2/16R47G,G2/17L47G
G2/14R9H,G2/15L9H,G2/14R4H,G2/15L4H,G2/16R48F,G2/17L50F,G2/16R48G,G2/17L48G
G2/14R10H,G2/15L10H,G2/14R5H,G2/15L5H,G2/16R49F,G2/17L51F,G2/16R49G,G2/17L49G
G2/14R11H,G2/15L11H,0,0,G2/16R50F,G2/17L52F,G2/16R50G,G2/17L50G
G2/14R12H,G2/15L12H,0,0,G2/16R51F,G2/17L53F,G2/16R51G,G2/17L51G
G2/14R13H,G2/15L13H,0,0,G2/16R52F,G2/17R53F,G2/16R52G,G2/17L52G
G2/14R14H,G2/15L14H,0,0,G2/16R53F,G2/16R1F,G2/16R53G,G2/17L53G
G2/14R15H,G2/15L15H,0,0,G2/16R55F,G2/16L2F,G2/16R54G,G2/17L54G
G2/14R16H,G2/15L16H,0,0,G2/15R1F,G2/16L3F,G2/15R1G,G2/16L1G
G2/14R17H,G2/15L17H,0,0,G2/15R2F,G2/16L4F,G2/15R2G,G2/16L2G
G2/14R18H,G2/15L18H,0,0,G2/15R3F,G2/16L5F,G2/15R3G,G2/16L3G
G2/14R19H,G2/15L19H,0,0,G2/15R4F,G2/16L6F,G2/15R4G,G2/16L4G
G2/14R20H,G2/15L20H,0,0,G2/15R5F,G2/16L7F,G2/15R5G,G2/16L5G
G2/14R21H,G2/15L21H,0,0,G2/15R6F,G2/16L8F,G2/15R6G,G2/16L6G
G2/14R22H,G2/15L22H,0,0,G2/15R7F,G2/16L9F,G2/15R7G,G2/16L7G
G2/14R23H,G2/15L23H,0,0,G2/15R8F,G2/16L10F,G2/15R8G,G2/16L8G
G2/14R24H,G2/15L24H,0,0,G2/15R9F,G2/16L11F,G2/15R9G,G2/16L9G
G2/14R25H,G2/15L25H,0,0,G2/15R10F,G2/16L12F,G2/15R10G,G2/16L10G
G2/14R26H,G2/15L26H,0,0,G2/15R11F,G2/16L13F,G2/15R11G,G2/16L11G
G2/14R27H,G2/15L27H,0,0,G2/15R12F,G2/16L14F,G2/15R12G,G2/16L12G
G2/14R32H,G2/15L32H,G2/14R54H,G2/15L54H,G2/15R13F,G2/16L15F,G2/15R13G,G2/16L13G
G2/14R33H,G2/15L33H,G2/14R55H,G2/15L55H,G2/15R14F,G2/16L16F,G2/15R14G,G2/16L14G
G2/14R34H,G2/15L34H,G2/14R56H,G2/15L56H,G2/15R15F,G2/16L17F,G2/15R15G,G2/16L15G
G2/14R35H,G2/15L35H,G2/14R57H,G2/15L57H,G2/15R16F,G2/16L18F,G2/15R16G,G2/16L16G
G2/14R36H,G2/15L36H,G2/14R58H,G2/15L58H,G2/15R17F,G2/16L19F,G2/15R17G,G2/16L17G
G2/14R37H,G2/15L37H,0,0,G2/15R18F,G2/16L20F,G2/15R18G,G2/16L18G
G2/14R38H,G2/15L38H,0,0,G2/15R19F,G2/16L21F,G2/15R19G,G2/16L19G
G2/14R39H,G2/15L39H,0,0,G2/15R20F,G2/16L22F,G2/15R20G,G2/16L20G
G2/14R40H,G2/15L40H,0,0,G2/15R21F,G2/16L23F,G2/15R21G,G2/16L21G
G2/14R41H,G2/15L41H,0,0,G2/15R22F,G2/16L24F,G2/15R22G,G2/16L22G
G2/14R42H,G2/15L42H,0,0,G2/15R23F,G2/16L25F,G2/15R23G,G2/16L23G
G2/14R43H,G2/15L43H,0,0,G2/15R24F,G2/16L26F,G2/15R24G,G2/16L24G
G2/14R44H,G2/15L44H,0,0,G2/15R25F,G2/16L27F,G2/15R25G,G2/16L25G
G2/14R45H,G2/15L45H,0,0,G2/15R26F,G2/16L28F,G2/15R26G,G2/16L26G
G2/14R46H,G2/15L46H,0,0,G2/15R27F,G2/16L29F,G2/15R27G,G2/16L27G
G2/14R47H,G2/15L47H,0,0,G2/15R28F,G2/16L30F,G2/15R28G,G2/16L28G
G2/14R48H,G2/15L48H,0,0,G2/15R29F,G2/16L31F,G2/15R29G,G2/16L29G
G2/14R49H,G2/15L49H,0,0,G2/15R30F,G2/16L32F,G2/15R30G,G2/16L30G
G2/14R50H,G2/15L50H,0,0,G2/15R31F,G2/16L33F,G2/15R31G,G2/16L31G
G2/14R51H,G2/15L51H,0,0,G2/15R32F,G2/16L34F,G2/15R32G,G2/16L32G
G2/14R52H,G2/15L52H,0,0,G2/15R33F,G2/16L35F,G2/15R33G,G2/16L33G
G2/14R53H,G2/15L53H,0,0,G2/15R34F,G2/16L36F,G2/15R34G,G2/16L34G
G2/13R6H,G2/14L6H,G2/13R1H,G2/14L1H,G2/15R35F,G2/16L37F,G2/15R35G,G2/16L35G
G2/13R7H,G2/14L7H,G2/13R2H,G2/14L2H,G2/15R36F,G2/16L38F,G2/15R36G,G2/16L36G
G2/13R8H,G2/14L8H,G2/13R3H,G2/14L3H,G2/15R37F,G2/16L39F,G2/15R37G,G2/16L37G
G2/13R9H,G2/14L9H,G2/13R4H,G2/14L4H,G2/15R38F,G2/16L40F,G2/15R38G,G2/16L38G
G2/13R10H,G2/14L10H,G2/13R5H,G2/14L5H,G2/15R39F,G2/16L41F,G2/15R39G,G2/16L39G
G2/13R11H,G2/14L11H,0,0,G2/15R40F,G2/16L42F,G2/15R40G,G2/16L40G
G2/13R12H,G2/14L12H,0,0,G2/15R41F,G2/16L43F,G2/15R41G,G2/16L41G
G2/13R13H,G2/14L13H,0,0,G2/15R42F,G2/16L44F,G2/15R42G,G2/16L42G
G2/13R14H,G2/14L14H,0,0,G2/15R43F,G2/16L45F,G2/15R43G,G2/16L43G
G2/13R15H,G2/14L15H,0,0,G2/15R44F,G2/16L46F,G2/15R44G,G2/16L44G
G2/13R16H,G2/14L16H,0,0,G2/15R45F,G2/16L47F,G2/15R45G,G2/16L45G
