R屋面角铁名称,L屋面角铁名称,R百页角铁名称,L百页角铁名称,R水沟,L水沟,R水沟T铁,L水沟T铁
G4/17R20H,G4/18L20H,G4/17R10H,G4/18L10H,G4/18R55F,G4/19L56F,G4/18R55G,G4/19L55G
G4/17R21H,G4/18L21H,0,0,G4/18R56F,G4/19L57F,G4/18R56G,G4/19L56G
G4/17R22H,G4/18L22H,0,0,G4/18R57F,G4/19L58F,G4/18R57G,G4/19L57G
G4/17R23H,G4/18L23H,0,0,G4/18R58F,G4/19L59F,G4/18R58G,G4/19L58G
G4/17R24H,G4/18L24H,0,0,G4/18R59F,G4/18R1F,G4/18R59G,G4/19L59G
G4/17R25H,G4/18L25H,0,0,G4/18R61F,G4/18L2F,G4/18R60G,G4/19L60G
G4/17R26H,G4/18L26H,0,0,G4/17R1F,G4/18L3F,G4/17R1G,G4/18L1G
G4/17R27H,G4/18L27H,0,0,G4/17R2F,G4/18L4F,G4/17R2G,G4/18L2G
G4/17R28H,G4/18L28H,0,0,G4/17R3F,G4/18L5F,G4/17R3G,G4/18L3G
G4/17R29H,G4/18L29H,0,0,G4/17R4F,G4/18L6F,G4/17R4G,G4/18L4G
G4/17R34H,G4/18L34H,G4/17R58H,G4/18L58H,G4/17R5F,G4/18L7F,G4/17R5G,G4/18L5G
G4/17R35H,G4/18L35H,G4/17R59H,G4/18L59H,G4/17R6F,G4/18L8F,G4/17R6G,G4/18L6G
G4/17R36H,G4/18L36H,G4/17R60H,G4/18L60H,G4/17R7F,G4/18L9F,G4/17R7G,G4/18L7G
G4/17R37H,G4/18L37H,G4/17R61H,G4/18L61H,G4/17R8F,G4/18L10F,G4/17R8G,G4/18L8G
G4/17R38H,G4/18L38H,G4/17R62H,G4/18L62H,G4/17R9F,G4/18L11F,G4/17R9G,G4/18L9G
G4/17R39H,G4/18L39H,0,0,G4/17R10F,G4/18L12F,G4/17R10G,G4/18L10G
G4/17R40H,G4/18L40H,0,0,G4/17R11F,G4/18L13F,G4/17R11G,G4/18L11G
G4/17R41H,G4/18L41H,0,0,G4/17R12F,G4/18L14F,G4/17R12G,G4/18L12G
G4/17R42H,G4/18L42H,0,0,G4/17R13F,G4/18L15F,G4/17R13G,G4/18L13G
G4/17R43H,G4/18L43H,0,0,G4/17R14F,G4/18L16F,G4/17R14G,G4/18L14G
G4/17R44H,G4/18L44H,0,0,G4/17R15F,G4/18L17F,G4/17R15G,G4/18L15G
